author_in_publication;text;name;city;type;issue;year_emigration;description;peculiarity;name_part;pages;name_in_russia;year_russia
Бабель И.Э.;История моей голубятни;Версты;Париж;журнал;№1;1926;проза;полный текст;;58—67;Изд. Земля и Фабрика;1926
Белый А.;Москва под ударом;Версты;Париж;журнал;№2;1927;проза;отрывок;Москва под ударом;104—114;;
Веселый А.;Вольница;Версты;Париж;журнал;№1;1926;проза;полный текст;;68—81;Леф;1925
Веселый А.;Страна Родная;Версты;Париж;журнал;№2;1927;проза;отрывок;Восстание;84—92;;
Есенин С.А.;Какая ночь! Я не могу;Версты;Париж;журнал;№1;1926;стихи;полный текст;;7—8;Новый мир;1926
Есенин С.А.;Не гляди на меня с упреком;Версты;Париж;журнал;№1;1926;стихи;полный текст;;8—9;Новый мир;1926
Есенин С.А.;Ты меня не любишь, не жалеешь;Версты;Париж;журнал;№1;1926;стихи;полный текст;;9—10;Новый мир;1926
Есенин С.А.;Может поздно, может слишком рано ;Версты;Париж;журнал;№1;1926;стихи;полный текст;;10—11;Новый мир;1926
Пастернак Б.Л.;1905 год;Версты;Париж;журнал;№1;1926;стихи;отрывок;Потемкин ;20—22;Новый мир;1926
Сельвинский И.Л.;Казнь стецюры;Версты;Париж;журнал;№1;1926;стихи;полный текст;;23—26;Сборник литературного центра конструктивистов;
Сельвинский И.Л.;Казачья походная;Версты;Париж;журнал;№1;1926;стихи;полный текст;;27;"Круг 
";
Сельвинский И.Л.;Цыганская ;Версты;Париж;журнал;№1;1926;стихи;полный текст;;28;"Мена всех Поэты конструктивисты 
";1924
Сельвинский И.Л.;Цыганский вальс на гитаре ;Версты;Париж;журнал;№1;1926;стихи;полный текст;;29;"Мена всех Поэты конструктивисты 
";1924
Тынянов Ю.;Кюхля;Версты;Париж;журнал;№2;1927;проза;отрывок;Конец;92—104;;
Ахматова А.А.;Земной отрадой сердца не томи;Накануне ;Берлин;журнал;№29(№1);30.04.1922;стихи;полный текст;;1;;
Ахматова А.А.;Как мог ты, сильный и свободный;Накануне ;Берлин;журнал;№29(№1);30.04.1922;стихи;полный текст;;1;;
Мариенгоф А.;Без шляпы;Накануне ;Берлин;журнал;№34(№2);07.05.1922;стихи;отрывок;;1;;
Есенин С.А.;Все живое особой метой;Накануне ;Берлин;журнал;№40 (№3);14.05.1922;стихи;полный текст;;1;;
Есенин С.А.;Не жалею, не зову, не плачу;Накануне ;Берлин;журнал;№40 (№3);14.05.1922;стихи;полный текст;;1;;
"Пильняк Б.А.
";Отрывок без названия;Накануне ;Берлин;журнал;№40 (№3);14.05.1922;проза;полный текст;;7;;
Есенин С.А.;Сторона ты моя, сторона;Накануне ;Берлин;журнал;№46 (№4);21.05.1922;стихи;полный текст;;1;;
Мандельштам О.;Люблю под сводами седыя тишины;Накануне ;Берлин;журнал;№51(№5);28.05.1922;стихи;полный текст;;;;
Пильняк Б.А.;В охотничьем избе;Накануне ;Берлин;журнал;№51(№5);28.05.1922;проза;полный текст;;1—3;;
